Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.41     0.00   513126     0.00     0.00  double* std::__addressof<double>(double&)
  0.00      1.41     0.00   513126     0.00     0.00  double* std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      1.41     0.00   513126     0.00     0.00  double* std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.00      1.41     0.00   512476     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_M_get_Tp_allocator() const
  0.00      1.41     0.00   512476     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::max_size() const
  0.00      1.41     0.00   385128     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00      1.41     0.00   385128     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00      1.41     0.00   385128     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00      1.41     0.00   385118     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  0.00      1.41     0.00   385118     0.00     0.00  std::vector<double, std::allocator<double> >::_S_relocate(double*, double*, double*, std::allocator<double>&)
  0.00      1.41     0.00   385118     0.00     0.00  std::vector<double, std::allocator<double> >::_S_do_relocate(double*, double*, double*, std::allocator<double>&, std::integral_constant<bool, true>)
  0.00      1.41     0.00   385118     0.00     0.00  std::vector<double, std::allocator<double> >::_S_use_relocate()
  0.00      1.41     0.00   385118     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_append(unsigned long)
  0.00      1.41     0.00   385118     0.00     0.00  std::vector<double, std::allocator<double> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      1.41     0.00   385118     0.00     0.00  double* std::__relocate_a<double*, double*, std::allocator<double> >(double*, double*, double*, std::allocator<double>&)
  0.00      1.41     0.00   384348     0.00     0.00  std::complex<double>* std::__niter_base<std::complex<double>*>(std::complex<double>*)
  0.00      1.41     0.00   384132     0.00     0.00  std::__new_allocator<std::complex<double> >::~__new_allocator()
