qx             qy   <SSQ(qx,qy)> sd(SSQ(qx,qy))
2.35619        3.66519    1.85701e-07              0
2.35619        3.92699    2.35326e-07              0
2.35619        4.18879    1.22561e-08              0
2.35619        4.45059    2.59572e-07              0
2.35619        4.71239    8.19938e-09              0
2.35619        4.97419    5.66102e-07              0
2.35619        5.23599    1.77767e-07              0
2.35619        5.49779    3.35952e-07              0
2.35619        5.75959    3.44528e-07              0
2.35619        6.02139    4.59607e-07              0

2.61799              0    5.18922e-07              0
2.61799       0.261799    9.27144e-07              0
2.61799       0.523599    1.59552e-06              0
2.61799       0.785398     9.2695e-08              0
2.61799         1.0472    6.17338e-07              0
2.61799          1.309      1.035e-08              0
2.61799         1.5708     4.1427e-08              0
2.61799         1.8326    3.57447e-08              0
2.61799         2.0944    1.08588e-08              0
2.61799        2.35619    4.75331e-07              0
2.61799        2.61799     1.4168e-07              0
2.61799        2.87979    1.17524e-07              0
2.61799        3.14159    3.22312e-07              0
2.61799        3.40339    3.60633e-08              0
2.61799        3.66519    2.92707e-07              0
2.61799        3.92699    6.02769e-08              0
2.61799        4.18879    1.65838e-07              0
2.61799        4.45059    3.76364e-07              0
2.61799        4.71239    5.18711e-08              0
2.61799        4.97419    2.03298e-07              0
2.61799        5.23599    1.07038e-06              0
2.61799        5.49779    3.38248e-07              0
2.61799        5.75959    2.07769e-06              0
2.61799        6.02139     2.0036e-07              0

2.87979              0    1.24013e-06              0
2.87979       0.261799    6.83291e-07              0
2.87979       0.523599    5.58478e-07              0
2.87979       0.785398    7.59839e-07              0
2.87979         1.0472    4.97722e-07              0
2.87979          1.309    6.16745e-08              0
2.87979         1.5708    3.16699e-07              0
2.87979         1.8326    8.19574e-08              0
2.87979         2.0944     4.5833e-07              0
2.87979        2.35619    4.76904e-08              0
2.87979        2.61799    4.97649e-07              0
2.87979        2.87979        5.7e-07              0
2.87979        3.14159    2.27188e-08              0
2.87979        3.40339    1.33394e-07              0
2.87979        3.66519    6.20247e-08              0
2.87979        3.92699    1.53494e-06              0
2.87979        4.18879    5.84144e-07              0
2.87979        4.45059    2.79359e-07              0
2.87979        4.71239     4.8048e-08              0
2.87979        4.97419    4.56887e-07              0
2.87979        5.23599    1.32605e-08              0
2.87979        5.49779    3.16474e-08              0
2.87979        5.75959    1.23525e-07              0
2.87979        6.02139    7.56512e-07              0

3.14159              0     7.9076e-08              0
3.14159       0.261799    4.03172e-07              0
3.14159       0.523599    5.81006e-07              0
3.14159       0.785398    5.31932e-08              0
3.14159         1.0472    4.01912e-07              0
3.14159          1.309    2.32804e-08              0
3.14159         1.5708    6.79701e-08              0
3.14159         1.8326    4.78792e-09              0
3.14159         2.0944    8.78571e-08              0
3.14159        2.35619    5.14342e-07              0
3.14159        2.61799    6.61551e-07              0
3.14159        2.87979     1.7368e-06              0
3.14159        3.14159    6.60891e-07              0
3.14159        3.40339     1.7368e-06              0
3.14159        3.66519    6.61551e-07              0
3.14159        3.92699    5.14342e-07              0
3.14159        4.18879    8.78571e-08              0
3.14159        4.45059    4.78792e-09              0
3.14159        4.71239    6.79701e-08              0
3.14159        4.97419    2.32804e-08              0
3.14159        5.23599    4.01912e-07              0
3.14159        5.49779    5.31932e-08              0
3.14159        5.75959    5.81006e-07              0
3.14159        6.02139    4.03172e-07              0

3.40339              0    1.24013e-06              0
3.40339       0.261799    7.56512e-07              0
3.40339       0.523599    1.23525e-07              0
3.40339       0.785398    3.16474e-08              0
3.40339         1.0472    1.32605e-08              0
3.40339          1.309    4.56887e-07              0
3.40339         1.5708     4.8048e-08              0
3.40339         1.8326    2.79359e-07              0
3.40339         2.0944    5.84144e-07              0
3.40339        2.35619    1.53494e-06              0
3.40339        2.61799    6.20247e-08              0
3.40339        2.87979    1.33394e-07              0
3.40339        3.14159    2.27188e-08              0
3.40339        3.40339        5.7e-07              0
3.40339        3.66519    4.97649e-07              0
3.40339        3.92699    4.76904e-08              0
3.40339        4.18879     4.5833e-07              0
3.40339        4.45059    8.19574e-08              0
3.40339        4.71239    3.16699e-07              0
3.40339        4.97419    6.16745e-08              0
3.40339        5.23599    4.97722e-07              0
3.40339        5.49779    7.59839e-07              0
3.40339        5.75959    5.58478e-07              0
3.40339        6.02139    6.83291e-07              0

3.66519              0    5.18922e-07              0
3.66519       0.261799     2.0036e-07              0
3.66519       0.523599    2.07769e-06              0
3.66519       0.785398    3.38248e-07              0
3.66519         1.0472    1.07038e-06              0
3.66519          1.309    2.03298e-07              0
3.66519         1.5708    5.18711e-08              0
3.66519         1.8326    3.76364e-07              0
3.66519         2.0944    1.65838e-07              0
3.66519        2.35619    6.02769e-08              0
3.66519        2.61799    2.92707e-07              0
3.66519        2.87979    3.60633e-08              0
3.66519        3.14159    3.22312e-07              0
3.66519        3.40339    1.17524e-07              0
3.66519        3.66519     1.4168e-07              0
3.66519        3.92699    4.75331e-07              0
3.66519        4.18879    1.08588e-08              0
3.66519        4.45059    3.57447e-08              0
3.66519        4.71239     4.1427e-08              0
3.66519        4.97419      1.035e-08              0
3.66519        5.23599    6.17338e-07              0
3.66519        5.49779     9.2695e-08              0
3.66519        5.75959    1.59552e-06              0
3.66519        6.02139    9.27144e-07              0

3.92699              0    4.67676e-07              0
3.92699       0.261799    4.59607e-07              0
3.92699       0.523599    3.44528e-07              0
3.92699       0.785398    3.35952e-07              0
3.92699         1.0472    1.77767e-07              0
3.92699          1.309    5.66102e-07              0
3.92699         1.5708    8.19938e-09              0
3.92699         1.8326    2.59572e-07              0
3.92699         2.0944    1.22561e-08              0
3.92699        2.35619    2.35326e-07              0
3.92699        2.61799    1.85701e-07              0
3.92699        2.87979    6.37066e-08              0
3.92699        3.14159    3.40671e-07              0
3.92699        3.40339    7.86561e-07              0
3.92699        3.66519    3.64538e-07              0
3.92699        3.92699     7.7615e-08              0
3.92699        4.18879    2.23969e-07              0
3.92699        4.45059    9.14826e-07              0
3.92699        4.71239    8.70966e-08              0
3.92699        4.97419    3.45385e-07              0
3.92699        5.23599    6.04123e-08              0
3.92699        5.49779    1.52888e-06              0
3.92699        5.75959    1.69557e-07              0
3.92699        6.02139    4.04898e-07              0

4.18879              0    1.69799e-07              0
4.18879       0.261799    4.65293e-07              0
4.18879       0.523599    1.50552e-09              0
4.18879       0.785398    2.67172e-07              0
4.18879         1.0472    1.72045e-07              0
4.18879          1.309    5.84747e-07              0
4.18879         1.5708    2.18246e-07              0
4.18879         1.8326    2.39848e-08              0
4.18879         2.0944    2.76719e-07              0
4.18879        2.35619    2.78263e-09              0
4.18879        2.61799    2.87442e-08              0
4.18879        2.87979    2.49356e-07              0
4.18879        3.14159    8.10844e-07              0
4.18879        3.40339    4.59505e-08              0
4.18879        3.66519    6.71566e-08              0
4.18879        3.92699    6.73444e-08              0
4.18879        4.18879    5.27763e-07              0
4.18879        4.45059    7.27948e-07              0
4.18879        4.71239     2.5138e-08              0
4.18879        4.97419    3.73864e-07              0
4.18879        5.23599     9.5121e-07              0
4.18879        5.49779    4.91081e-08              0
4.18879        5.75959     2.3101e-07              0
4.18879        6.02139    9.18464e-08              0

4.45059              0    2.96921e-08              0
4.45059       0.261799    4.35412e-07              0
4.45059       0.523599    5.55307e-07              0
4.45059       0.785398    3.50801e-07              0
4.45059         1.0472    4.24063e-07              0
4.45059          1.309    9.61452e-08              0
4.45059         1.5708    6.17364e-07              0
4.45059         1.8326    9.31858e-07              0
4.45059         2.0944    4.03648e-07              0
4.45059        2.35619    2.09541e-07              0
4.45059        2.61799    1.46764e-06              0
4.45059        2.87979    1.76154e-07              0
4.45059        3.14159    4.91642e-07              0
4.45059        3.40339    8.80094e-08              0
4.45059        3.66519    6.67154e-07              0
4.45059        3.92699    2.34507e-07              0
4.45059        4.18879    3.06206e-07              0
4.45059        4.45059    6.84938e-07              0
4.45059        4.71239     2.8044e-08              0
4.45059        4.97419    1.65202e-07              0
4.45059        5.23599    1.16008e-07              0
4.45059        5.49779    3.42085e-07              0
4.45059        5.75959    1.73887e-07              0
4.45059        6.02139      7.469e-08              0

4.71239              0    9.86196e-07              0
4.71239       0.261799    9.11782e-07              0
4.71239       0.523599    1.41616e-08              0
4.71239       0.785398    6.62469e-07              0
4.71239         1.0472    2.79193e-07              0
4.71239          1.309    2.18912e-07              0
4.71239         1.5708       0.499898              0
4.71239         1.8326    1.07137e-08              0
4.71239         2.0944    1.17239e-07              0
4.71239        2.35619    1.93846e-07              0
4.71239        2.61799    1.09861e-07              0
4.71239        2.87979    5.71546e-07              0
4.71239        3.14159    2.40024e-07              0
4.71239        3.40339    1.89982e-07              0
4.71239        3.66519    3.15823e-07              0
4.71239        3.92699    3.37647e-07              0
4.71239        4.18879    4.87122e-07              0
4.71239        4.45059    2.09984e-07              0
4.71239        4.71239    1.04927e-06              0
4.71239        4.97419    2.96449e-07              0
4.71239        5.23599    4.61951e-07              0
4.71239        5.49779     6.3327e-08              0
4.71239        5.75959    1.87629e-07              0
4.71239        6.02139     8.7065e-08              0

4.97419              0    9.30602e-08              0
4.97419       0.261799    3.56063e-08              0
4.97419       0.523599    3.67968e-07              0
4.97419       0.785398    3.50581e-07              0
4.97419         1.0472    1.50943e-07              0
4.97419          1.309    6.76254e-07              0
4.97419         1.5708    2.81639e-07              0
4.97419         1.8326    1.67118e-07              0
4.97419         2.0944    2.33573e-07              0
4.97419        2.35619     9.1539e-08              0
4.97419        2.61799    2.47854e-07              0
4.97419        2.87979    2.46882e-07              0
4.97419        3.14159     1.3834e-07              0
4.97419        3.40339    8.08055e-07              0
4.97419        3.66519    8.11831e-08              0
4.97419        3.92699     1.5111e-06              0
4.97419        4.18879    7.91421e-08              0
4.97419        4.45059    2.46054e-07              0
4.97419        4.71239    1.21989e-06              0
4.97419        4.97419    9.92668e-08              0
4.97419        5.23599    4.89898e-07              0
4.97419        5.49779    3.18004e-07              0
4.97419        5.75959    6.02964e-07              0
4.97419        6.02139    4.09451e-07              0

5.23599              0    5.68734e-07              0
5.23599       0.261799    1.55688e-07              0
5.23599       0.523599    5.87582e-08              0
5.23599       0.785398     1.2371e-06              0
5.23599         1.0472    5.75657e-09              0
5.23599          1.309    4.25408e-07              0
5.23599         1.5708    1.93629e-07              0
5.23599         1.8326    1.22344e-07              0
5.23599         2.0944    8.77132e-08              0
5.23599        2.35619    3.14254e-07              0
5.23599        2.61799    1.07555e-06              0
5.23599        2.87979    5.76554e-09              0
5.23599        3.14159     3.6583e-07              0
5.23599        3.40339     4.0282e-07              0
5.23599        3.66519    2.38473e-07              0
5.23599        3.92699    6.69875e-08              0
5.23599        4.18879    2.49159e-07              0
5.23599        4.45059    7.39214e-07              0
5.23599        4.71239    1.80215e-08              0
5.23599        4.97419    6.10273e-07              0
5.23599        5.23599    1.76819e-07              0
5.23599        5.49779    3.03495e-08              0
5.23599        5.75959    1.33295e-07              0
5.23599        6.02139    2.28147e-07              0

5.49779              0    6.13803e-08              0
5.49779       0.261799    4.00196e-07              0
5.49779       0.523599    2.23158e-08              0
5.49779       0.785398     1.1909e-07              0
5.49779         1.0472    6.03651e-08              0
5.49779          1.309    3.13221e-07              0
5.49779         1.5708    1.11861e-07              0
5.49779         1.8326    6.28153e-07              0
5.49779         2.0944    5.01212e-08              0
5.49779        2.35619    1.86348e-07              0
5.49779        2.61799    5.26383e-07              0
5.49779        2.87979    7.02212e-07              0
5.49779        3.14159    1.08744e-07              0
5.49779        3.40339    1.85692e-07              0
5.49779        3.66519    1.84611e-08              0
5.49779        3.92699    2.27147e-07              0
5.49779        4.18879    1.36988e-06              0
5.49779        4.45059    1.00891e-07              0
5.49779        4.71239    3.06203e-07              0
5.49779        4.97419    1.02101e-06              0
5.49779        5.23599    6.19035e-08              0
5.49779        5.49779    2.90279e-07              0
5.49779        5.75959     7.2749e-07              0
5.49779        6.02139    1.56697e-07              0

5.75959              0    4.78219e-07              0
5.75959       0.261799    1.01126e-07              0
5.75959       0.523599    5.21969e-08              0
5.75959       0.785398    1.68906e-07              0
5.75959         1.0472     4.1377e-07              0
5.75959          1.309    7.51378e-07              0
5.75959         1.5708    6.98606e-08              0
5.75959         1.8326    5.77078e-07              0
5.75959         2.0944    6.15299e-07              0
5.75959        2.35619    1.46468e-07              0
5.75959        2.61799     1.3554e-06              0
5.75959        2.87979    4.79709e-07              0
5.75959        3.14159    8.62383e-08              0
5.75959        3.40339    2.09477e-07              0
5.75959        3.66519    1.40594e-07              0
5.75959        3.92699    5.25153e-07              0
5.75959        4.18879    1.16731e-07              0
5.75959        4.45059    5.19375e-08              0
5.75959        4.71239    1.41619e-07              0
5.75959        4.97419    1.43279e-07              0
5.75959        5.23599    2.39697e-08              0
5.75959        5.49779    3.91445e-07              0
5.75959        5.75959    2.15584e-07              0
5.75959        6.02139    5.48233e-07              0

6.02139              0    1.04615e-06              0
6.02139       0.261799     2.5798e-07              0
6.02139       0.523599    1.66279e-07              0
6.02139       0.785398    5.01583e-07              0
6.02139         1.0472    1.48549e-07              0
6.02139          1.309    1.95592e-07              0
6.02139         1.5708    4.72194e-07              0
6.02139         1.8326    3.81633e-08              0
6.02139         2.0944    9.26452e-07              0
6.02139        2.35619    7.78267e-08              0
6.02139        2.61799    5.25407e-09              0
6.02139        2.87979    1.69124e-07              0
6.02139        3.14159    7.23484e-07              0
6.02139        3.40339    1.34437e-06              0
6.02139        3.66519    4.75291e-07              0
6.02139        3.92699    2.87281e-07              0
6.02139        4.18879    7.76545e-07              0
6.02139        4.45059    6.11619e-07              0
6.02139        4.71239    3.77287e-07              0
6.02139        4.97419    2.20378e-07              0
6.02139        5.23599    5.68129e-07              0
6.02139        5.49779    6.06304e-07              0
6.02139        5.75959    3.36277e-07              0
6.02139        6.02139    1.05511e-07              0

