rx             ry    <SS(rx,ry)>  sd(SS(rx,ry))
15              1      -0.999775              0
15              2   -8.17903e-06              0
15              3       0.999796              0
15              4   -6.37905e-06              0
15              5      -0.999791              0
15              6   -9.19564e-06              0
15              7       0.999784              0
15              8   -3.60085e-06              0
15              9      -0.999814              0
15             10     5.3041e-07              0
15             11        0.99979              0
15             12    1.21377e-06              0
15             13      -0.999781              0
15             14    -1.3625e-05              0
15             15       0.999807              0
15             16    3.95151e-06              0
15             17      -0.999809              0
15             18     1.8888e-05              0
15             19       0.999799              0
15             20    6.27618e-06              0
15             21       -0.99979              0
15             22   -9.91025e-06              0
15             23       0.999787              0

16              0       0.999791              0
16              1   -7.54423e-06              0
16              2      -0.999802              0
16              3   -1.05004e-05              0
16              4       0.999797              0
16              5   -1.89258e-07              0
16              6      -0.999791              0
16              7    1.09128e-05              0
16              8        0.99979              0
16              9    3.02255e-06              0
16             10      -0.999801              0
16             11    8.06402e-06              0
16             12       0.999782              0
16             13   -9.60368e-06              0
16             14      -0.999803              0
16             15    1.11104e-05              0
16             16       0.999799              0
16             17   -6.52909e-06              0
16             18      -0.999799              0
16             19   -3.40846e-06              0
16             20       0.999803              0
16             21   -1.46216e-06              0
16             22      -0.999786              0
16             23    2.16702e-06              0

17              0    3.74055e-07              0
17              1       0.999804              0
17              2    5.92709e-07              0
17              3      -0.999788              0
17              4   -1.20511e-05              0
17              5       0.999795              0
17              6   -1.45583e-05              0
17              7      -0.999783              0
17              8   -1.31519e-06              0
17              9       0.999784              0
17             10    6.97063e-07              0
17             11      -0.999799              0
17             12    1.43345e-05              0
17             13       0.999792              0
17             14    1.67114e-05              0
17             15      -0.999794              0
17             16   -1.26877e-05              0
17             17       0.999786              0
17             18    5.54694e-06              0
17             19      -0.999805              0
17             20   -2.36743e-07              0
17             21       0.999797              0
17             22   -3.50769e-06              0
17             23      -0.999787              0

18              0      -0.999802              0
18              1   -3.27444e-06              0
18              2       0.999781              0
18              3   -1.37697e-06              0
18              4      -0.999795              0
18              5    3.93842e-06              0
18              6       0.999795              0
18              7    2.43287e-06              0
18              8      -0.999786              0
18              9    1.03893e-05              0
18             10       0.999787              0
18             11    2.20892e-07              0
18             12      -0.999806              0
18             13   -1.36272e-05              0
18             14       0.999807              0
18             15   -6.37849e-06              0
18             16      -0.999804              0
18             17    5.45837e-06              0
18             18       0.999806              0
18             19   -9.75899e-06              0
18             20      -0.999789              0
18             21   -1.63666e-05              0
18             22       0.999803              0
18             23   -2.37871e-05              0

19              0    2.41613e-06              0
19              1      -0.999782              0
19              2    9.82974e-07              0
19              3       0.999794              0
19              4   -1.01089e-05              0
19              5      -0.999794              0
19              6   -5.27526e-06              0
19              7       0.999786              0
19              8     1.2342e-05              0
19              9      -0.999791              0
19             10   -3.91483e-07              0
19             11         0.9998              0
19             12    4.36372e-08              0
19             13      -0.999783              0
19             14    8.60674e-07              0
19             15       0.999788              0
19             16    5.77777e-06              0
19             17      -0.999791              0
19             18    2.76395e-07              0
19             19       0.999783              0
19             20    2.58515e-06              0
19             21      -0.999806              0
19             22   -1.09381e-06              0
19             23       0.999815              0

20              0       0.999802              0
20              1   -1.05877e-05              0
20              2      -0.999788              0
20              3    7.30081e-07              0
20              4       0.999798              0
20              5   -4.23947e-06              0
20              6      -0.999796              0
20              7    2.89405e-06              0
20              8       0.999803              0
20              9   -4.92519e-06              0
20             10       -0.99981              0
20             11      1.315e-05              0
20             12       0.999803              0
20             13    1.15651e-06              0
20             14      -0.999807              0
20             15    2.23929e-06              0
20             16       0.999806              0
20             17    6.85968e-06              0
20             18      -0.999793              0
20             19    1.38189e-05              0
20             20       0.999799              0
20             21      1.258e-06              0
20             22      -0.999791              0
20             23   -5.34888e-06              0

21              0   -3.28092e-06              0
21              1       0.999795              0
21              2    2.68292e-06              0
21              3      -0.999793              0
21              4    5.59222e-06              0
21              5       0.999788              0
21              6    2.31767e-06              0
21              7      -0.999783              0
21              8   -3.47112e-06              0
21              9       0.999796              0
21             10     1.1864e-05              0
21             11        -0.9998              0
21             12    8.04483e-06              0
21             13       0.999784              0
21             14   -2.20576e-06              0
21             15      -0.999804              0
21             16    3.56228e-07              0
21             17       0.999798              0
21             18    1.38727e-05              0
21             19      -0.999808              0
21             20   -4.66178e-07              0
21             21       0.999782              0
21             22   -1.38911e-05              0
21             23      -0.999791              0

22              0      -0.999787              0
22              1    3.83901e-06              0
22              2        0.99981              0
22              3    -2.5955e-06              0
22              4      -0.999794              0
22              5   -1.78262e-06              0
22              6       0.999812              0
22              7   -1.22264e-06              0
22              8      -0.999809              0
22              9    7.54088e-06              0
22             10       0.999784              0
22             11    6.40251e-06              0
22             12      -0.999793              0
22             13    1.19412e-05              0
22             14       0.999801              0
22             15    3.13379e-06              0
22             16      -0.999791              0
22             17   -2.11907e-06              0
22             18        0.99979              0
22             19    -2.3761e-06              0
22             20      -0.999805              0
22             21    3.67867e-06              0
22             22       0.999809              0
22             23    9.44833e-07              0

23              0   -5.26171e-06              0
23              1      -0.999802              0
23              2   -1.48731e-05              0
23              3       0.999789              0
23              4    9.61995e-06              0
23              5      -0.999796              0
23              6    1.10292e-06              0
23              7       0.999802              0
23              8   -2.44249e-06              0
23              9      -0.999777              0
23             10   -1.19512e-05              0
23             11       0.999785              0
23             12    -6.8557e-07              0
23             13      -0.999801              0
23             14    1.05004e-05              0
23             15       0.999802              0
23             16    8.34573e-06              0
23             17      -0.999791              0
23             18    4.78916e-06              0
23             19       0.999801              0
23             20   -1.56084e-06              0
23             21      -0.999791              0
23             22   -8.81456e-06              0
23             23       0.999777              0

